testStores,state_test,store_type_test,locality_description_test,Eductation_Level_3_test,Birthplace_country_17_test,percentage_visits_age_group_2_test,Birthplace_country_22_test,Children_age_group_2_test,Children_age_group_1_test,Age_Group9_test,storeSales_test,controlStores,state_control,store_type_control,locality_description_control,Eductation_Level_3_control,Birthplace_country_17_control,percentage_visits_age_group_2_control,Birthplace_country_22_control,Children_age_group_2_control,Children_age_group_1_control,Age_Group9_control,storeSales_control,similarity,salesCorrelation,rank
564,state_2,store_type_3,locality_1,7.1925,3.4965,15.7185,1.6380000000000001,10.248,11.97,3.2340000000000004,131824.7582608695,40,state_2,store_type_2,locality_1,7.245000000000001,3.6225000000000014,15.771,1.6170000000000002,10.0905,11.9595,3.0135,116653.39782608695,0.99,0.64,1
664,state_2,store_type_3,locality_1,6.3000000000000025,4.539359999999999,18.1335,1.1865,12.411,12.1275,4.357500000000001,47690.5808695652,40,state_2,store_type_2,locality_1,7.245000000000001,3.6225000000000014,15.771,1.6170000000000002,10.0905,11.9595,3.0135,116653.39782608695,0.85,0.58,1
569,state_2,store_type_3,locality_1,5.166,0.8190000000000001,15.813,1.4070000000000005,15.246,14.2905,3.213,31713.948043478264,375,state_2,store_type_1,locality_1,5.3865,0.8085000000000001,15.603,1.4385,14.490000000000002,14.154000000000002,2.8140000000000005,63967.72478260871,0.97,0.49,1
569,state_2,store_type_3,locality_1,5.166,0.8190000000000001,15.813,1.4070000000000005,15.246,14.2905,3.213,31713.948043478264,119,state_1,store_type_3,locality_1,4.641,0.861,17.4405,1.3755000000000002,15.267,14.616,3.675,22858.09847826087,0.96,0.38,2
634,state_2,store_type_3,locality_1,4.9455,0.5984999999999999,13.5135,0.6615000000000001,13.5555,13.503,3.7485,31399.288913043485,333,state_3,store_type_3,locality_1,3.4545000000000003,0.28350000000000003,14.2905,0.672,14.2275,13.356000000000002,3.675,31777.950652173917,0.94,0.88,2
634,state_2,store_type_3,locality_1,4.9455,0.5984999999999999,13.5135,0.6615000000000001,13.5555,13.503,3.7485,31399.288913043485,486,state_2,store_type_1,locality_1,5.2815,0.42,12.9885,0.6930000000000001,12.8205,13.041,3.8115,66002.9991304348,0.96,0.55,1
663,state_2,store_type_3,locality_1,5.187,1.6590000000000005,14.7735,0.7035000000000001,11.886,12.6,3.4965,19298.285869565214,67,state_1,store_type_3,locality_4,5.0362839506172845,0.6804691358024691,15.843333333333335,1.078604938271605,12.28184567901235,12.367271604938274,3.522987654320988,37385.66565217391,0.93,0.62,1
663,state_2,store_type_3,locality_1,5.187,1.6590000000000005,14.7735,0.7035000000000001,11.886,12.6,3.4965,19298.285869565214,592,state_1,store_type_2,locality_4,5.0362839506172845,0.6804691358024691,15.843333333333335,1.078604938271605,12.28184567901235,12.367271604938274,3.522987654320988,75859.87347826084,0.93,0.4,2
664,state_2,store_type_3,locality_1,6.3000000000000025,4.539359999999999,18.1335,1.1865,12.411,12.1275,4.357500000000001,47690.5808695652,488,state_1,store_type_1,locality_1,4.0425,4.368,20.853,1.3335,14.973,14.175,3.465,59954.66913043478,0.83,-0.15,2
694,state_2,store_type_3,locality_1,6.006,4.539359999999999,16.4325,1.1550000000000002,13.482000000000001,12.841500000000002,2.919,34160.17413043479,516,state_2,store_type_2,locality_1,5.9220000000000015,1.6485,17.041500000000006,1.9530000000000003,13.524000000000001,12.9885,3.57,31399.529347826097,0.86,0.63,1
