storeID,feature_name_1,Median_age_3km_radius,Age_Group1,Age_Group2,Age_Group3,Age_Group4,Age_Group5,Age_Group6,Age_Group7,Age_Group8,Age_Group9,Age_Group10,Age_Group11,Age_Group12,Age_Group13,percentage_visits_age_group_1,percentage_visits_age_group_2,percentage_visits_age_group_3,percentage_visits_age_group_4,percentage_visits_age_group_5,percentage_visits_age_group_6,Building_area,Store_area,Birthplace,Birthplace_country_1,Birthplace_country_2,Birthplace_country_3,Birthplace_country_4,Birthplace_country_5,Birthplace_country_6,Birthplace_country_7,Birthplace_country_8,Birthplace_country_9,Birthplace_country_10,Birthplace_country_11,Birthplace_country_12,Birthplace_country_13,Birthplace_country_14,Birthplace_country_15,Birthplace_country_16,Birthplace_country_17,Birthplace_country_18,Birthplace_country_19,Birthplace_country_20,Birthplace_country_21,Birthplace_country_22,Children_age_group_1,Children_age_group_2,Children_age_group_3,Children_age_group_4,Children_age_group_5,Eductation_Level_1,Eductation_Level_2,Eductation_Level_3,Family_size,Income_median_3km,Income_median_5km,Income_level_1,Income_level_2,Income_level_3,Income_level_4,Income_level_5,Language_1,Language_2,Language_3,Language_4,Language_5,Language_6,Language_7,Marital_status_1,Marital_status_2,Marital_status_3,item 19 Net Sales,item 20 Net Sales,item 22 Net Sales,item 31 Net Sales,item 36 Net Sales,item 55 Net Sales,item 420 Net Sales,item 508 Net Sales,item 518 Net Sales,item 535 Net Sales,item 541 Net Sales,item 581 Net Sales,item 582 Net Sales,item 583 Net Sales,item 584 Net Sales,item 710 Net Sales,item 715 Net Sales,item 716 Net Sales,item 718 Net Sales,item 719 Net Sales,item 721 Net Sales,item 722 Net Sales,item 725 Net Sales,item 728 Net Sales,item 729 Net Sales,item 735 Net Sales,item 736 Net Sales,item 748 Net Sales,item 785 Net Sales,item 1022 Net Sales,item 1023 Net Sales,item 1100 Net Sales,item 1570 Net Sales,item 1696 Net Sales,item 1697 Net Sales,item 1726 Net Sales,Net Sales,Gross Sales,Unit Sales,Transaction Count,category 1 Net Sales,category 9 Net Sales,category 12 Net Sales,category 3 Net Sales,category 11 Net Sales,category 5 Net Sales,category 4 Net Sales,category 10 Net Sales,Target Sales trend,Net Sales trend
3,1503.79,36.288,16.086000000000002,15.6135,0.0,15.3825,15.3615,15.0465,14.3115,13.2405,1.7745,0.18899999999999997,12.474000000000002,11.865000000000002,0.29400000000000004,14.6475,15.057,15.6975,12.7575,9.975,4.7040000000000015,107.0,107.0,71.44200000000002,4.9455,4.924500000000001,0.441,0.052500000000000005,0.063,8.337000000000002,0.336,1.1760000000000002,1.3335,0.084,0.231,0.1155,2.2155,1.9110000000000005,0.1995,0.1995,0.2205,0.063,0.0945,0.17850000000000002,2.7405,2.0475,12.9465,12.6105,27.468000000000004,25.8825,12.327,0.9135,5.523,5.061000000000001,29.7255,3949.0290000000014,7081.0635,9.975,6.5729999999999995,6.363,5.586,10.437000000000001,17.85,36.75,11.55,146.65349999999995,16.359,28.8015,1.8375,1959.7935,4.6305000000000005,9.722999999999999,428.7224444444445,782.6404444444445,404.61977777777776,426.08022222222206,490.9264444444444,924.7439766081872,663.012888888889,329.2408888888889,741.0073067993367,468.05466666666666,610.8735555555558,1143.8342222222227,568.9097435897436,1108.96,2170.7037777777773,867.41,470.756888888889,301.3597777777778,934.8482222222224,896.898888888889,632.520888888889,479.058888888889,604.4317777777778,367.09422222222224,276.6817777777778,698.7393333333332,424.47399999999993,282.3622222222222,865.8593181818183,639.2981657774932,522.3406666666668,1137.2908088235292,600.6216666666666,620.7183823529413,540.34,674.5930077547558,25025.425333333333,38949.878444444446,9218.02,8099.163333333336,2790.2093333333332,0.0,2218.220060606061,9556.665965811968,5906.168873737373,0.0,0.0,0.0,0.11160290508424286,-0.0455422396994547
4,1955.92,53.928,11.6445,8.169,0.0105,11.4555,13.261500000000002,10.7625,14.175,10.982999999999999,8.458904999999998,1.9585649999999997,11.13,15.2145,1.9530000000000003,10.8675,10.552500000000002,11.4765,14.5005,14.742,11.214,230.0,0.0,73.77300000000002,2.394,2.6565,0.0105,0.3255,0.18899999999999997,12.5895,0.0105,0.105,0.084,0.0105,0.042,0.021,0.441,0.336,0.18899999999999997,0.17850000000000002,0.168,0.105,0.105,0.042,3.9585,0.5880000000000001,12.232500000000002,12.5265,28.9065,25.872000000000003,12.7995,0.34650000000000003,7.749,3.8115,40.15840499999999,1767.5385,3619.98,7.224,5.586,3.8220000000000014,4.2315000000000005,8.085,27.3,30.45000000000001,12.999,6.7410000000000005,10.5,15.812999999999999,0.336,1464.456,6.636000000000001,14.674275,1011.9531111111111,1453.727333333334,646.7342222222221,604.7853333333334,928.8135555555554,713.26,1052.9182222222223,595.1408888888889,741.0073067993367,704.1169629339371,1160.4966666666662,597.0226666666666,780.064358974359,448.42,1073.373111111111,1012.91,560.3208888888888,392.22444444444443,1190.8993333333335,1069.8473333333334,877.603111111111,640.6075555555557,679.9599999999997,453.46733333333333,672.876226287263,670.4575555555555,418.6002222222221,421.354,1145.334318181818,412.9952272727272,932.0338636363634,789.388666666667,572.11,391.23,727.68,674.5930077547558,35518.719777777784,56094.79155555556,13172.833333333336,11304.58,6265.236,1268.2522222222226,3036.0490909090904,10373.832803418802,5622.0252070707065,0.0,1296.2863434343435,0.0,-0.3748367788006237,-0.350905211173148
6,1969.41,39.4905,13.0095,10.9725,0.0,19.236,13.5345,15.1095,13.65,13.356000000000002,3.864,1.0605,13.335,13.870500000000002,1.3230000000000002,11.434500000000002,16.8105,14.3535,13.293,11.004,7.202999999999999,399.0,3756.0,85.2495,1.344,1.722,0.021,0.105,0.1995,5.6385000000000005,0.021,0.063,0.052500000000000005,0.39899999999999997,0.105,0.0105,0.5355000000000001,0.6509999999999999,0.14700000000000002,0.4935,0.4935,0.052500000000000005,0.0105,0.1995,1.1969999999999998,0.4515,12.138000000000002,12.095999999999998,27.4155,24.2235,13.734000000000002,0.3885,5.964,4.3785,33.9045,2564.121,6634.3095,9.0195,5.9115,6.363,6.6255,8.8515,25.137000000000004,63.88200000000001,12.6,48.236999999999995,7.7385,16.8105,0.35700000000000004,1707.7200000000007,6.468000000000001,12.043500000000002,1082.3682222222221,2938.547777777778,1363.0919999999999,710.220062835249,1951.2800000000002,1053.22,1918.0728888888889,735.2760033167496,741.0073067993367,1141.158,2295.5637777777783,755.5557777777778,1119.6141025641025,1123.77,1629.5299999999997,1850.97,997.1142222222222,866.8526666666669,1551.4642222222221,2139.5842222222223,1597.0282222222222,1815.0193333333332,2381.523555555555,846.6535555555556,915.4033333333331,1102.904888888889,1056.4991111111115,1024.1097777777777,2182.5477272727276,639.2981657774932,1089.6975000000004,2080.2506666666673,945.735597359736,620.7183823529413,1146.93,674.5930077547558,70612.04622222223,109513.04066666665,21489.626666666667,18705.236666666675,9596.747777777779,8954.541217777776,2236.6275000000005,20982.494547008548,10106.491282828283,0.0,0.0,0.0,0.15564590064593986,0.04117225998784613
10,2064.96,36.8235,12.232500000000002,8.2005,0.0105,25.5255,18.0495,23.567355,14.395500000000002,14.1855,2.205,0.4935,12.999,10.29,0.35700000000000004,9.1035,20.244000000000003,20.1705,11.6235,8.925,5.5440000000000005,152.0,0.0,50.693999999999996,4.9035,5.7330000000000005,0.052500000000000005,0.2205,0.4725,14.049,0.21,0.1365,0.17850000000000002,0.105,0.9135,1.092,2.4255,1.3545,0.8085000000000001,0.8295000000000001,0.882,1.7115,0.052500000000000005,0.861,2.8665000000000003,0.9975,13.1985,11.6445,20.118,14.4585,10.216500000000002,0.6615000000000001,3.2865,3.6435,26.7435,9428.7375,17426.997,8.2425,6.3315,7.0035,6.2055000000000025,8.484,107.919,153.3,38.85,145.15200000000004,350.7,2797.1685,1.6170000000000002,4108.1565,4.620000000000001,8.106,812.4666666666667,1262.6693333333335,1251.878,710.220062835249,1341.225333333333,924.7439766081872,1456.4577777777777,783.4404444444444,812.6813333333334,690.074222222222,2913.7137777777784,966.244222222222,1515.104085343879,655.36,2085.1295555555553,1760.66,1092.1400000000003,588.6744444444444,2721.489333333333,2338.468888888889,1735.291555555555,1148.5257777777774,1084.3831111111115,807.3797777777779,556.8015555555558,2082.798444444445,1133.4020000000003,924.1733333333333,1916.3579545454545,842.9750000000003,1751.5297727272728,1137.2908088235292,1630.1033333333335,712.37,1367.36,924.0899999999999,52643.861777777805,81657.67977777777,18039.84,17055.173333333336,5321.3713333333335,0.0,7492.512328282829,20661.932666666668,11756.299510101011,924.0899999999999,0.0,0.0,-0.19870292777470633,-0.21349606130358856
18,1762.37,53.97,10.185,10.4265,0.0,7.245000000000001,8.5785,8.977500000000003,11.739,11.6445,6.93,0.8085000000000001,11.675999999999998,15.0255,0.7035000000000001,10.940999999999999,6.888945000000001,8.799000000000003,15.099000000000002,18.910500000000006,14.0385,364.0,0.0,83.89500000000002,1.0395,1.0815,0.0,0.0315,0.0315,7.780500000000001,0.042,0.021,0.021,0.0,0.0315,0.0,0.1575,0.18899999999999997,0.0315,0.5565000000000001,0.7035000000000001,0.0,0.21,0.042,0.9555,0.28350000000000003,10.332,10.5105,31.5756,32.2875,10.5,0.3675,6.3420000000000005,5.365500000000001,30.618,1076.0505,1621.0635,7.0455000000000005,3.5595000000000003,3.3390000000000004,2.8035,6.8355,0.0,0.0,0.0,8.620500000000002,6.3000000000000025,0.0,0.105,626.2515,8.505,12.705,1437.904,2998.548444444444,1317.5648888888886,788.3886666666668,2077.4995555555556,1260.17,1833.7497777777785,881.4882222222221,741.0073067993367,1186.8084444444446,2121.4673333333335,1240.590222222222,2057.2123076923076,1639.76,2603.5506666666665,1828.09,852.9868888888888,636.7348743961353,1806.6733333333325,2157.841333333333,1625.7179999999998,1450.3986666666665,1703.0097777777776,629.6018247619047,672.876226287263,1214.8102222222224,1013.5886666666664,769.8462222222221,2047.7977272727271,639.2981657774932,1265.729772727273,2048.607333333334,945.735597359736,620.7183823529413,1150.78,674.5930077547558,73011.96755555554,113285.15422222219,23367.86666666666,19630.38,11612.918666666666,7968.691777777779,2416.5097727272732,19823.069863247863,11010.51194949495,0.0,804.2,0.0,0.22538996863420668,-0.023529805582159558
24,1460.77,37.779,13.7655,15.4245,0.0105,14.2275,17.335500000000003,16.863,14.448,14.7735,2.478,0.39899999999999997,14.931,11.256000000000002,0.21,11.991,16.7895,17.241000000000003,11.6655,10.142999999999999,5.6175,0.0,0.0,75.4215,3.6225000000000014,3.1185000000000005,0.084,0.273,0.231,5.1030000000000015,0.07350000000000001,0.2415,0.2415,0.105,0.2415,0.1365,2.8350000000000004,2.3205,0.14700000000000002,0.504,0.3045,0.1155,0.021,0.5145,1.134,0.987,13.125,13.040999999999999,27.131999999999998,28.518,14.027999999999999,0.4935,3.696,2.335725,19.131,1511.433,2912.5635,10.752,8.61,8.81034,8.884784999999994,10.1535,22.05,76.65,15.9075,103.6035,52.9935,39.732000000000006,1.008,1065.141,4.1055,9.6495,866.3315555555555,2398.612222222222,1402.3553333333332,836.6544444444445,1705.1260000000002,1103.93,1889.6508888888889,790.9388888888891,741.0073067993367,996.8877777777777,2394.62888888889,1090.4297777777783,2545.2473333333337,2079.54,2572.7346666666663,1460.3517238912732,689.0533333333332,759.7195555555555,1536.6922222222224,2683.0544444444436,1183.338666666667,1667.946444444444,2433.3308888888887,629.6018247619047,819.9191111111111,1143.8286666666668,1244.5237777777775,1321.457555555556,2457.068863636364,639.2981657774932,1287.105111111111,1091.4039999999998,945.735597359736,620.7183823529413,1173.11,674.5930077547558,67784.82666666666,104162.02244444445,20378.86666666666,17255.14,10130.251555555555,5675.239333333333,2460.2151111111107,22213.984000000004,10825.429974747476,0.0,0.0,0.0,0.0985758764195237,0.11270369593229401
34,1657.33,32.34,11.508,7.2765,0.0105,31.4685,16.831500000000002,22.827,14.2275,11.9595,2.121,0.441,10.1115,7.9065,0.2415,9.492,23.152500000000003,19.95,11.2875,8.4,5.019,223.0,0.0,51.261,4.357500000000001,5.8065000000000015,0.0945,0.168,0.37799999999999995,11.886,0.1365,0.07350000000000001,0.063,0.168,1.6065,1.1445,3.2550000000000003,2.5305000000000004,0.441,1.0815,0.8400000000000001,1.8585,0.0315,1.5645,2.7510000000000003,0.5355000000000001,11.088,9.5235,18.816000000000006,12.6735,8.368500000000001,0.8400000000000001,7.5075,5.5545,28.66500000000001,9110.073,17747.373,8.599499999999999,6.2475000000000005,7.1925,6.6675,8.8515,29.4,59.85,4.2,203.4375,197.421,3005.7405000000012,1.344,3291.729000000001,5.166,6.1635,1092.0928888888886,1697.8017777777777,1160.137777777778,710.220062835249,1338.3331111111108,611.3,1421.7262222222223,798.6464444444446,681.8084444444446,421.7062222222224,2074.6571111111107,1113.568267654321,1515.104085343879,1305.3964351851853,2209.760503213958,859.88,575.138888888889,636.7348743961353,1813.819333333333,1672.3731111111106,1327.848888888889,1014.3331111111114,1210.067111111111,504.9875555555558,672.876226287263,1061.238444444445,724.354222222222,675.6675555555556,945.2145454545451,524.5706818181817,1232.5846666666666,502.7353333333335,651.5216666666666,480.1,992.81,674.5930077547558,41294.41800000001,66371.24711111111,13970.273333333333,13283.596666666668,6634.6466666666665,1703.7886666666666,3881.587015151515,14468.640666666666,6039.549212121212,0.0,0.0,0.0,0.105074069452751,0.11904658553661762
37,1470.02,36.89700000000001,15.099000000000002,15.12,0.0,15.8445,19.4985,18.259500000000006,15.036,15.12,1.2075,0.1155,15.4455,12.7785,0.1365,12.1275,17.031,18.753,12.978,9.345,4.1055,258.0,0.0,60.626999999999995,3.444,4.4834999999999985,0.084,0.1575,0.126,10.3425,0.021,0.1995,0.18899999999999997,0.0,1.05,0.2205,2.3415,2.7825,0.37799999999999995,0.273,0.2625,0.084,0.0,0.5670000000000001,1.848,4.578,13.4715,13.8495,22.092,23.13150000000001,13.818,0.861,11.0145,3.1289999999999996,16.6215,1437.6495000000002,2158.464,10.562999999999999,8.704709999999999,8.368500000000001,8.3265,10.68921,770.427,1091.5485,317.3911649999989,0.0,26.291999999999998,25.20000000000001,0.2205,989.1,2.8560000000000003,8.022,1426.4373333333335,4460.783111111112,1972.8546666666668,2311.989333333333,2371.2455555555553,1501.09,2099.883111111111,735.2760033167496,741.0073067993367,704.1169629339371,2948.5066666666676,2462.0182888888876,5029.814888888888,2622.109299999999,5099.397626666667,3415.0753999999997,1550.1779999999999,1177.2319088888883,2389.833111111111,3222.8671111111107,2214.468,2403.849111111111,3484.589022222219,1209.5742222222227,1268.987111111111,1922.9755555555548,1709.0455555555557,2068.445555555556,4066.3250000000003,639.2981657774932,2782.4597727272735,1146.696,1983.6651749999992,620.7183823529413,2687.44,1565.6200000000001,103557.63955555554,164539.704,29787.939999999995,24936.356666666667,14044.400000000001,4187.810888888889,7489.527272727273,35175.85688888888,23391.250111111112,1565.6200000000001,1314.1322222222223,0.0,0.011317220479254653,-0.02414343216563042
40,1244.57,41.23350000000001,12.8625,10.9095,0.0,14.7945,18.2805,12.7995,14.027999999999999,13.776,3.0135,0.2625,13.713,15.7395,0.168,13.6395,15.770999999999999,15.099000000000002,12.9255,9.618,5.9955,211.0,0.0,67.7565,4.8615,2.52,0.063,0.126,0.052500000000000005,7.3290000000000015,0.6825000000000001,0.29400000000000004,0.3045,0.777,1.4595,0.105,4.095,4.1265,0.315,4.300274999999999,3.6225000000000014,0.0,1.1817749999999996,0.29400000000000004,1.239,1.6170000000000002,11.9595,10.0905,27.0165,29.862,9.9645,1.1969999999999998,8.0115,7.245000000000001,20.811,172.641,2300.4765,9.198,6.069000000000001,6.447,7.3605,8.421,17.9235,54.6,3.1500000000000004,23.0685,0.0,0.0,0.4515,87.33900000000001,4.6935,9.597,3295.084202222215,8659.375302222204,4793.88288888889,2649.9434399999936,3629.1879999999996,2370.245499999996,2782.4235555555556,1590.4813333333332,1598.604233333333,704.1169629339371,4380.033555555555,1281.1182222222217,2125.9684615384613,1305.3964351851853,2705.3933333333334,1610.45,1606.1024444444445,636.7348743961353,5205.855682222222,4185.49851111111,3060.1780222222214,2130.780444444445,2559.4766666666665,1301.7113333333336,672.876226287263,2792.004962222222,1951.7772288888882,1360.704888888889,2492.654318181819,1228.6537777777778,3000.2799999999993,1459.7071111111106,1245.4840000000002,620.7183823529413,2207.76,674.5930077547558,113930.54109555551,189389.86155555557,35204.49333333333,31789.45,34454.90170444442,2905.130444444444,7682.177777777778,37308.18712820513,14197.473429292928,0.0,0.0,0.0,-0.29450754125411527,-0.27889884131108067
42,1466.51,41.306999999999995,13.460999999999999,13.7235,0.0105,13.4715,16.737000000000002,14.552999999999999,14.574000000000002,15.6135,2.9610000000000003,0.7875000000000001,15.519,13.86,0.882,13.9755,18.186,15.036,12.243,9.1035,5.355,85.0,0.0,67.70400000000001,4.178999999999999,3.465,0.052500000000000005,0.2415,0.34650000000000003,4.0845,0.042,0.5670000000000001,0.483,0.021,0.1155,0.483,2.2575,2.037,0.2205,0.1995,0.2625,0.5775000000000001,0.042,0.8925,3.444,0.9135,11.8545,12.117,24.4545,29.9145,12.936000000000002,0.7244999999999999,4.9455,3.633,13.965000000000002,1968.6555,4232.823,8.442,6.772500000000001,6.4995,6.9195,8.421,69.804,233.247,6.3000000000000025,19.9185,49.287,236.33400000000003,0.7875000000000001,1442.2379999999994,4.074,7.602,481.33399999999983,795.2544444444442,363.9486666666666,401.65822222222226,525.1751111111112,924.7439766081872,629.5764444444445,321.5206666666667,741.0073067993367,704.1169629339371,785.0624444444445,1149.7404444444446,554.7320512820514,1024.24,2503.033999999999,731.6,519.7517777777779,340.07466666666676,1008.6502222222226,968.5115555555553,622.9755555555555,480.48311111111104,496.1964444444445,308.238,281.14666666666665,685.8975555555556,393.5548888888889,426.20266666666663,778.2118181818182,332.3102222222222,870.0164444444446,1137.2908088235292,738.2475000000001,341.75,860.44,674.5930077547558,26433.147777777776,40935.138666666666,9492.139999999998,8478.563333333334,2567.3704444444443,0.0,3814.1830303030306,9034.457162393164,6570.022707070706,0.0,267.50636363636363,0.0,-0.1836253902315621,-0.15929069430151432
