store_sk,wkEndDate,TotNet,YoY
3,2019-03-03,115885.3,0.05036576218007793
3,2019-03-10,118209.44000000002,0.04347998029021882
3,2019-03-17,113869.78999999998,0.03504243663636908
3,2019-03-24,117198.15999999995,0.021383860905551444
3,2019-03-31,117626.82,-0.0946235905306605
3,2019-04-07,120809.52000000008,-0.006903939831012673
3,2019-04-14,124724.76000000011,0.03181290683164484
3,2019-04-21,148890.03000000014,0.19308023220546722
3,2019-04-28,146324.49,0.1135827122958748
3,2019-05-05,117660.10999999994,0.04320612425082104
3,2019-05-12,116498.39999999994,0.0328647904678645
3,2019-05-19,119405.27,0.06643222269408633
3,2019-05-26,124193.06,0.09587307492343333
3,2019-06-02,122427.62999999995,0.0495793756875047
3,2019-06-09,124714.08999999994,0.08889561962423831
3,2019-06-16,124275.51,0.05123865476855105
3,2019-06-23,123968.68000000002,0.059592249654454976
3,2019-06-30,129687.21000000012,0.055979518002440276
3,2019-07-07,132659.31000000008,0.060894510022290405
3,2019-07-14,142491.3900000001,0.025912811581347617
3,2019-07-21,147171.6600000001,0.04043181144650099
3,2019-07-28,134877.13000000006,0.09777744172368985
3,2019-08-04,129118.18,0.0900360336615833
3,2019-08-11,125317.56000000006,0.047713003314589164
3,2019-08-18,128002.90000000002,0.06840580271432262
3,2019-08-25,133621.63,0.0808723201374999
3,2019-09-01,126772.51000000005,0.038508002300613686
3,2019-09-08,130285.69000000006,0.08946502061054362
3,2019-09-15,137555.64000000007,0.02452190007317734
3,2019-09-22,135907.09000000005,-0.01803527273171268
3,2019-09-29,143827.76000000007,-0.06313944431963259
3,2019-10-06,145685.69,0.010472351711102057
3,2019-10-13,141840.65000000005,0.10799261779085523
3,2019-10-20,126918.25000000006,0.06332251648310883
3,2019-10-27,124339.65000000005,0.07303807759776904
3,2019-11-03,125638.72000000006,0.10281076534740863
3,2019-11-10,122655.30000000006,0.12837158315513864
3,2019-11-17,128416.91000000006,0.1152524120453986
3,2019-11-24,120410.93000000002,0.06300233115378862
3,2019-12-01,127581.87000000002,0.08929091940167999
3,2019-12-08,133264.01000000007,0.0942421570586851
3,2019-12-15,133978.5800000001,0.016377907239172318
3,2019-12-22,158052.46000000008,0.016796077499177775
3,2019-12-29,152903.75000000006,0.21983271708959662
3,2020-01-05,134626.58999999994,0.06021517959773859
3,2020-01-12,132321.71000000002,0.09571019104957523
3,2020-01-19,125115.49000000006,0.05190628313861745
3,2020-01-26,130862.21000000006,0.04945541273191001
3,2020-02-02,126517.25,0.100419267810401
3,2020-02-09,118070.88000000006,0.08923294752430833
3,2020-02-16,115047.47,0.06332549908771967
3,2020-02-23,119106.8,0.09848534804733933
6,2019-03-03,128593.11000000002,0.03269497960478707
6,2019-03-10,136285.03000000006,0.04336064564093345
6,2019-03-17,150302.22000000006,0.0542436467678018
6,2019-03-24,134176.83000000002,0.028662946536551548
6,2019-03-31,133344.70000000007,-0.07788059147442383
6,2019-04-07,139026.88000000006,0.006818537000379488
6,2019-04-14,151436.19000000006,0.0654926486615639
6,2019-04-21,153142.8000000001,0.05253043925057144
6,2019-04-28,152538.32000000007,0.052383384163904756
6,2019-05-05,138316.92,0.05176835153083159
6,2019-05-12,146864.83999999994,0.0060841905649449135
6,2019-05-19,139840.53000000006,-0.0021142196686223524
6,2019-05-26,141287.81,0.039347210097705476
6,2019-06-02,142480.16999999998,0.07255371588456194
6,2019-06-09,141863.42000000007,-0.027666558121979157
6,2019-06-16,146767.44,-0.02244108651137766
6,2019-06-23,144502.52000000002,0.046276547718320016
6,2019-06-30,140072.65000000008,0.06538602190088616
6,2019-07-07,145000.52000000008,0.007156830773601186
6,2019-07-14,157740.65000000008,0.020432765473313852
6,2019-07-21,154352.09000000005,0.01421858029851042
6,2019-07-28,145262.81000000006,0.031239286972098768
6,2019-08-04,149210.38000000006,0.048455659172744525
6,2019-08-11,149528.42000000007,0.05340494749791991
6,2019-08-18,146109.08000000002,0.05984933085300859
6,2019-08-25,153231.82000000007,0.04774510127033893
6,2019-09-01,137321.32000000007,-0.0028144152494435914
6,2019-09-08,151286.45,0.04225054516376914
6,2019-09-15,150611.14000000007,0.05260114427312712
6,2019-09-22,151826.78000000006,0.015436731325246367
6,2019-09-29,156363.43000000005,0.020095093271480735
6,2019-10-06,153143.74,0.02596909974984518
6,2019-10-13,152607.99000000002,0.10520084923648065
6,2019-10-20,145027.7800000001,0.0988781996518664
6,2019-10-27,138465.63000000006,0.02225231581011422
6,2019-11-03,141014.61000000004,0.06277124236994203
6,2019-11-10,138176.66000000006,0.014822733695059043
6,2019-11-17,147654.77000000005,0.03826660573449292
6,2019-11-24,150471.69,0.06173555651549201
6,2019-12-01,140091.50000000006,0.05749602207153082
6,2019-12-08,147723.01000000007,0.028717499818940784
6,2019-12-15,153191.57000000007,0.03767277829957871
6,2019-12-22,147937.34000000008,-0.05038688732355978
6,2019-12-29,157516.6400000001,0.031308326191869185
6,2020-01-05,134282.49000000005,-0.006399091480251751
6,2020-01-12,132129.40000000002,0.07930356381724812
6,2020-01-19,137003.65000000002,0.039990517361002675
6,2020-01-26,139323.99000000005,-0.026987677974549373
6,2020-02-02,134656.18000000005,0.031343041120628135
6,2020-02-09,129394.65000000002,0.005735963340574468
6,2020-02-16,136150.23,0.038235522663198074
6,2020-02-23,130297.31,-0.05357638206668158
7,2019-03-03,31805.30000000001,0.03779827649778622
7,2019-03-10,31627.570000000014,-0.007986899277057535
7,2019-03-17,31546.510000000013,-0.012566674773592634
7,2019-03-24,32447.34000000001,-0.026796629710900577
