trial,variable,effectSize,ratio,alpha,ssStatus,ssAlert,testStores,numTeststores,metric,startDate,endDate,numWeeks,hierarchy,numCategories,numProducts,numProductSelected,extraFeatureShape,extraFeatureFiltered,dataInsufficient,multiCorr,corr,extraDuplicateCols,modelData.shape,features,gain,pvalues,rSquared,rSquaredAdj,mape,mdape,analyseFeatureStatus,afAlert,selectedFeatures,storesWithSettings,numStoresWithSettings,nControls,excludeControls,excludeControls.len,identifyControlStatus,icAlert,prePeriod,postPeriod,metrics,pValue,delta,liftAnalysisStatus,laAlert
wreetret,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wetrete,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_103,,,,,,,"['3', '4', '6', '10', '18', '24', '34', '37', '40', '42']",10.0,2.0,2019-03-01 00:00:00,2019-12-27 00:00:00,43.0,"{'lvl': '2', 'categories': ['category 12']}",1.0,20.0,20.0,,,,,,,"[10, 117]","[['Birthplace_country_21'], ['Age_Group10'], ['percentage_visits_age_group_2'], ['category 9 Net Sales'], ['Birthplace'], ['Median_age_3km_radius'], ['Age_Group4']]","[[0.756], [0.091], [0.0774], [0.0411], [0.0157], [0.0113], [0.0032]]",,0.9999818241181327,0.9999182085315984,0.07884173934697618,0.00733279526263658,Success,,"['Birthplace_country_21', 'Age_Group10', 'percentage_visits_age_group_2', 'category 9 Net Sales', 'Birthplace', 'Median_age_3km_radius', 'Age_Group4']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2019-2-7', 'endDate': '2019-4-10'}","{'startDate': '2019-9-18', 'endDate': '2019-12-19'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.3379416085461877 0.6165881924422147 0.539652017824197],[-159.5878442303613 201.14539644440165 247.97308533986916],Success,
rwerwer,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_94,,,,,,,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '12', '13', '15', '14', '16', '17']",16.0,2.0,2019-02-08 00:00:00,2019-12-26 00:00:00,46.0,"{'lvl': '2', 'categories': ['category 2']}",1.0,20.0,20.0,,,,,,,"[4, 121]","[['Median_age_3km_radius'], ['Language_1'], ['item 718 Net Sales'], ['item 716 Net Sales'], ['item 715 Net Sales'], ['item 710 Net Sales'], ['item 584 Net Sales']]","[[1.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0]]",,0.9999673485651254,1.000024488576156,0.0954651750490487,0.07776962608560617,Success,,"['Median_age_3km_radius', 'Language_1', 'item 718 Net Sales', 'item 716 Net Sales', 'item 715 Net Sales', 'item 710 Net Sales', 'item 584 Net Sales']",[],0.0,3.0,,0.0,"('868', 'occurred at index 1')","[1439, 'teststore.py']",,,,,,,
geomes,Gross Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_104,,,,,,,"['244', '368', '403', '423', '449', '465', '473', '477', '483', '493', '559', '618', '656', '678', '689', '708', '731', '802', '813', '832', '853', '865', '867', '890', '936']",25.0,2.0,2019-03-06 00:00:00,2019-12-20 00:00:00,41.0,"{'lvl': '2', 'categories': ['category 2']}",1.0,20.0,20.0,,,,,,,"[25, 116]","[['Birthplace'], ['Age_Group1'], ['Birthplace_country_17'], ['Birthplace_country_15'], ['Age_Group7'], ['Language_6'], ['Language_4']]","[[0.3745], [0.0921], [0.0918], [0.0721], [0.0636], [0.0546], [0.0476]]",,0.999966006677664,0.9999520094272903,0.09100391604491266,0.06599178047051887,Success,,"['Birthplace', 'Age_Group1', 'Birthplace_country_17', 'Birthplace_country_15', 'Age_Group7', 'Language_6', 'Language_4']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2019-2-28', 'endDate': '2019-5-7'}","{'startDate': '2019-8-15', 'endDate': '2019-12-13'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.8978620143032334 0.08799494800213163 0.39125908117925057],[-17.09920668334378 -727.3040915839406 388.38011459574176],Success,
ewwerwe,Gross Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rewrewrwe,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryeutireot,Gross Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_92,,,,,,,"['2', '3', '4', '5', '6', '7', '8', '9', '10']",9.0,2.0,2019-02-07 00:00:00,2019-12-19 00:00:00,45.0,"{'lvl': '2', 'categories': ['category 2']}",1.0,20.0,20.0,,,,,,,"[4, 116]","[['Median_age_3km_radius'], ['item 22 Net Sales'], ['item 716 Net Sales'], ['item 715 Net Sales'], ['item 584 Net Sales'], ['item 582 Net Sales'], ['item 581 Net Sales']]","[[1.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0]]",,0.999967184293299,1.0000246117800258,0.09481344027666506,0.07682674776521553,Success,,"['Median_age_3km_radius', 'item 22 Net Sales', 'item 716 Net Sales', 'item 715 Net Sales', 'item 584 Net Sales', 'item 582 Net Sales', 'item 581 Net Sales']",[],0.0,2.0,,0.0,"('246', 'occurred at index 2')","[1444, 'teststore.py']",,,,,,,
trial_99,,,,,,,"['3', '4', '6', '10', '24', '18', '34', '37', '40', '42', '44', '55', '57', '59', '60', '67', '80', '81', '82']",19.0,1.0,2019-04-13 00:00:00,2019-12-19 00:00:00,36.0,"{'lvl': '2', 'categories': ['category 1']}",1.0,20.0,20.0,,,,,,,"[19, 112]","[['item 420 Net Sales'], ['Age_Group12'], ['category 9 Net Sales'], ['category 5 Net Sales'], ['Birthplace_country_1'], ['Birthplace_country_7'], ['Birthplace']]","[[0.3681], [0.1907], [0.1155], [0.0763], [0.0528], [0.0433], [0.0407]]",,0.9999376474384648,0.9998979685356696,0.2173566210353529,0.17880782607090545,Success,,"['item 420 Net Sales', 'Age_Group12', 'category 9 Net Sales', 'category 5 Net Sales', 'Birthplace_country_1', 'Birthplace_country_7', 'Birthplace']",[],0.0,5.0,,0.0,Success,,"{'startDate': '2019-2-7', 'endDate': '2019-4-17'}","{'startDate': '2019-8-15', 'endDate': '2019-12-19'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.23359773233115302 0.705160451031394 0.2725780006911185],[-307.0492395866219 50.265814691165815 221.2005062211134],Success,
trial_98,,,,,,,"['4', '6', '10', '18', '24', '34', '40', '37', '42', '82', '81', '80', '85']",13.0,2.0,2018-12-14 00:00:00,2019-12-12 00:00:00,52.0,"{'lvl': '2', 'categories': ['category 1']}",1.0,20.0,20.0,,,,,,,"[13, 112]","[['Family_size'], ['Birthplace_country_7'], ['Age_Group1'], ['Birthplace_country_8'], ['Age_Group2'], ['Birthplace_country_22'], ['Birthplace_country_13']]","[[0.4423], [0.2255], [0.0998], [0.0722], [0.034], [0.0291], [0.028]]",,0.9999668480183728,0.9999204352440948,0.12048548324243165,0.15753062210328833,Success,,"['Family_size', 'Birthplace_country_7', 'Age_Group1', 'Birthplace_country_8', 'Age_Group2', 'Birthplace_country_22', 'Birthplace_country_13']",[],0.0,3.0,,0.0,Success,,"{'startDate': '2019-2-8', 'endDate': '2019-4-24'}","{'startDate': '2019-9-20', 'endDate': '2019-12-20'}","[['Transaction Count', 'Gross Sales', 'Net Sales']]",[0.34983222253650204 0.8244004482104176 0.02839814277515674],[-352.71524722557746 -34.750650893467586 -378.6910684178952],Success,
kfljkwer,Net Sales,99.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_85,,,,,,,"['2', '5', '6', '17', '25', '24', '18', '11']",8.0,1.0,2019-02-14 00:00:00,2019-12-27 00:00:00,45.0,"{'lvl': '2', 'categories': ['category 03']}",1.0,20.0,20.0,,,,,,,"[3, 105]","[['Median_age_3km_radius'], ['Family_size'], ['item 62 Net Sales'], ['item 55 Net Sales'], ['item 36 Net Sales'], ['item 31 Net Sales'], ['item 22 Net Sales']]","[[1.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0]]",,0.9999566158381796,1.0000173536647279,0.04795945073001194,0.03294460827401685,Success,,,,,,,,,,,,,,,,
weruiwtekjgfc,Net Sales,88.0,2.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_105,,,,,,,"['59', '117', '188', '243', '332', '424', '555', '564', '569', '634', '663', '664', '694', '728', '735', '773', '790', '812', '891', '894']",20.0,2.0,2019-02-07 00:00:00,2019-12-25 00:00:00,46.0,"{'lvl': '2', 'categories': ['category 02']}",1.0,20.0,20.0,,,,,,,"[20, 121]","[['Birthplace_country_19'], ['Income_level_5'], ['Eductation_Level_1'], ['Birthplace_country_5'], ['Marital_status_2'], ['Age_Group8'], ['item 22 Net Sales']]","[[0.1572], [0.1531], [0.1391], [0.1157], [0.061], [0.0548], [0.0511]]",,0.9998825545419372,0.9998140446914004,0.11700123917554064,0.07164781464159782,Success,,,,,,,,,,,,,,,,
trkjt,Net Sales,3.0,3.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewer,Net Sales,10.0,2.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yewur,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ytrewq,Net Sales,10.0,1.0,2.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_107,,,,,,,"['59', '117', '188', '243', '332', '424', '555', '564', '569', '634', '663', '664', '694', '728', '735', '773', '790', '812', '891', '894']",20.0,1.0,2019-02-07 00:00:00,2019-12-24 00:00:00,46.0,"{'lvl': '2', 'categories': ['category 12', 'category 11', 'category 10', 'category 09', 'category 08', 'category 07', 'category 06', 'category 05', 'category 04', 'category 03', 'category 02', 'category 01']}",12.0,240.0,240.0,,,,,,,"[20, 77]","[['Eductation_Level_3'], ['Birthplace_country_17'], ['percentage_visits_age_group_2'], ['Birthplace_country_22'], ['Children_age_group_2'], ['Children_age_group_1'], ['Age_Group9']]","[[0.4084], [0.1124], [0.0911], [0.0627], [0.0545], [0.0519], [0.0462]]",,0.9998905353152512,0.9998266809158144,0.05665988084880184,0.041810151604456336,Success,,"['Eductation_Level_3', 'Birthplace_country_17', 'percentage_visits_age_group_2', 'Birthplace_country_22', 'Children_age_group_2', 'Children_age_group_1', 'Age_Group9']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2019-1-31', 'endDate': '2019-3-5'}","{'startDate': '2019-8-29', 'endDate': '2019-12-20'}","[['Transaction Count', 'Gross Sales', 'Net Sales']]",[0.3283467482346213 0.7261744244758002 0.4751262260936453],[-427.1627965750321 82.70169399073036 573.482558580183],Success,
ewt,Gross Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_106,,,,,,,"['194', '196', '198', '139', '143', '140', '57', '60', '67', '80', '81', '914', '912', '907', '900', '6', '4']",17,2,2019-02-14 00:00:00,2019-12-26 00:00:00,45,"{'lvl': '2', 'categories': ['category 02']}",1,20,20,,,,,,,,"[['item 31 Net Sales'], ['Birthplace_country_1'], ['Birthplace_country_11'], ['item 736 Net Sales'], ['Median_age_3km_radius'], ['Birthplace_country_19'], ['Age_Group7']]","[[0.7283], [0.0664], [0.0657], [0.0348], [0.022], [0.0176], [0.0151]]",,0.999975013066501,0.9999555787848907,0.13197506808711004,0.05246380539936946,Success,,"['item 1726 Net Sales', 'item 19 Net Sales', 'Birthplace_country_15', 'Age_Group3', 'Birthplace_country_6', 'Eductation_Level_2', 'Age_Group4']",[],0.0,2.0,,0.0,Success,,,,,,,,
