testStores,state_test,store_type_test,locality_description_test,dvSalesSum_trend_test,GCs_Total_trend_test,TotNet_trend_test,Income_numPeople_300_399_3km_test,Birthplace_percentPeople_Hon_0002_test,Education_percentPeople_Pers_0015_test,Income_percentPeople_Persons_0001_test,area_site_m2_test,category_net_cat_1_test,Birthplace_percentPeople_Ger_0003_test,storeSales_test,controlStores,state_control,store_type_control,locality_description_control,dvSalesSum_trend_control,GCs_Total_trend_control,TotNet_trend_control,Income_numPeople_300_399_3km_control,Birthplace_percentPeople_Hon_0002_control,Education_percentPeople_Pers_0015_control,Income_percentPeople_Persons_0001_control,area_site_m2_control,category_net_cat_1_control,Birthplace_percentPeople_Ger_0003_control,storeSales_control,similarity,salesCorrelation,rank
7,state_2,store_type_1,locality_3,-0.06588222118461251,-0.0760424540186444,-0.11749564500997067,2701.5765,0.021,6.3420000000000005,8.557500000000001,2769.0,8773.612051282053,0.1365,157487.32897435897,103,state_3,store_type_1,locality_1,-0.040632406523265614,-0.04569510388000109,-0.10444601793928464,2953.6395,0.0105,3.654,8.715000000000002,2005.0,7043.074615384616,0.18899999999999997,86799.15820512822,0.91,0.28,2
7,state_2,store_type_1,locality_3,-0.06588222118461251,-0.0760424540186444,-0.11749564500997067,2701.5765,0.021,6.3420000000000005,8.557500000000001,2769.0,8773.612051282053,0.1365,157487.32897435897,137,state_1,store_type_1,locality_3,-0.04538139857324952,-0.0585635012697121,-0.10287139174824388,554.715,0.1365,7.266,9.1875,1727.0,11486.062307692308,0.0,89709.85179487179,0.88,0.53,3
8,state_2,store_type_1,locality_1,0.03971298978992977,0.022571277719112937,-0.013940165905380495,1140.6045,0.021,4.756500000000001,9.5655,2930.0,10035.663076923078,0.504,142024.12051282055,180,state_3,store_type_1,locality_3,0.02587498206879424,0.04120159453302974,-0.002422805818106277,265.50300000000004,0.084,4.0215000000000005,10.3005,3494.0,8864.803589743591,0.483,105582.46820512823,0.93,0.32,1
8,state_2,store_type_1,locality_1,0.03971298978992977,0.022571277719112937,-0.013940165905380495,1140.6045,0.021,4.756500000000001,9.5655,2930.0,10035.663076923078,0.504,142024.12051282055,54,state_1,store_type_1,locality_1,0.023346717576351542,0.02844604478451673,-0.014382498387908947,3205.4400000000005,0.042,5.4705,9.6075,3672.0,9662.858461538459,0.315,134281.3328205128,0.93,0.54,2
8,state_2,store_type_1,locality_1,0.03971298978992977,0.022571277719112937,-0.013940165905380495,1140.6045,0.021,4.756500000000001,9.5655,2930.0,10035.663076923078,0.504,142024.12051282055,197,state_3,store_type_1,locality_1,0.021347596875669783,0.0044548506071029345,-0.036461227720286704,2982.5145,0.0315,4.7250000000000005,8.589,2961.0,10409.074102564104,0.546,142677.4266666666,0.93,0.55,3
9,state_4,store_type_1,locality_3,0.12475121893106846,0.05357542240204927,0.02162836288690695,536.529,0.168,4.746,10.410119999999996,2200.0,19716.32717948718,0.4305,170406.4623076923,37,state_3,store_type_2,locality_1,0.05957400561679749,0.06528183582503355,0.012462452879224541,1437.6495000000002,0.17850000000000002,3.738,10.410119999999996,258.0,11987.624871794873,0.5145,137840.22025641022,0.88,0.45,1
9,state_4,store_type_1,locality_3,0.12475121893106846,0.05357542240204927,0.02162836288690695,536.529,0.168,4.746,10.410119999999996,2200.0,19716.32717948718,0.4305,170406.4623076923,172,state_1,store_type_1,locality_1,0.07414591166066598,0.051453084705415535,0.01922727775370059,916.482,0.063,3.0975,10.2585,3421.0,8568.32923076923,0.3675,118638.16410256411,0.87,0.33,2
9,state_4,store_type_1,locality_3,0.12475121893106846,0.05357542240204927,0.02162836288690695,536.529,0.168,4.746,10.410119999999996,2200.0,19716.32717948718,0.4305,170406.4623076923,107,state_2,store_type_1,locality_1,0.09502165185855692,0.047444516442572304,0.008619610629105212,1112.034,0.0315,3.9270000000000014,10.2375,3910.0,7614.349487179488,0.3885,147844.0994871795,0.87,0.23,3
10,state_1,store_type_3,locality_2,0.06518864055814899,0.0569635401430737,0.002522346960816213,9301.284405,0.9975,2.688,8.547,152.0,4514.908717948718,0.6405,74437.76871794871,59,state_2,store_type_3,locality_2,0.11036580280463636,0.057303267933969775,-0.008306861549724156,8457.7605,0.8085000000000001,3.7065,8.505,108.0,2119.580512820513,0.39899999999999997,56366.47051282049,0.91,0.14,1
10,state_1,store_type_3,locality_2,0.06518864055814899,0.0569635401430737,0.002522346960816213,9301.284405,0.9975,2.688,8.547,152.0,4514.908717948718,0.6405,74437.76871794871,193,state_1,store_type_2,locality_1,0.08718309778859679,0.08215151358877826,0.012408132084074984,5141.325,0.9555,2.1735,8.61,154.0,3196.101025641025,0.8190000000000001,34336.08179487179,0.9,0.25,2
10,state_1,store_type_3,locality_2,0.06518864055814899,0.0569635401430737,0.002522346960816213,9301.284405,0.9975,2.688,8.547,152.0,4514.908717948718,0.6405,74437.76871794871,82,state_2,store_type_2,locality_2,0.06725100346429236,0.021827691998189458,0.036368424551315386,8009.778,0.7979999999999999,3.843,8.505,378.0,3454.667692307692,0.3885,153277.1751282051,0.9,-0.2,3
11,state_1,store_type_1,locality_1,-0.005468533988046254,-0.0061380184389057115,-0.05840612130961576,256.1685,0.0,3.9270000000000014,10.227,1946.0,8545.064615384614,0.336,117453.52692307692,121,state_2,store_type_6,locality_1,0.0252014609516511,-0.019369491850738,-0.061728387472018025,399.0,0.07350000000000001,4.284000000000002,10.101,220.0,14323.717179487181,0.2415,167058.85512820518,0.91,0.43,1
11,state_1,store_type_1,locality_1,-0.005468533988046254,-0.0061380184389057115,-0.05840612130961576,256.1685,0.0,3.9270000000000014,10.227,1946.0,8545.064615384614,0.336,117453.52692307692,97,state_3,store_type_1,locality_3,0.00585961891350939,0.0001853715375241816,-0.040852203097354815,1196.8425,0.105,2.7195,9.387,2919.0,9563.48794871795,0.2415,118516.62897435893,0.91,0.65,2
11,state_1,store_type_1,locality_1,-0.005468533988046254,-0.0061380184389057115,-0.05840612130961576,256.1685,0.0,3.9270000000000014,10.227,1946.0,8545.064615384614,0.336,117453.52692307692,113,state_1,store_type_1,locality_1,0.0263907066807767,0.018665356817065604,-0.019414923067479828,2773.5855,0.14700000000000002,4.1055,10.206,1240.0,8279.896923076923,0.231,125518.52589743589,0.91,0.07,3
12,state_2,store_type_6,locality_1,0.04797837673334926,0.058302953452739725,0.020045560481529282,2508.7125,1.1130000000000002,5.5440000000000005,8.746500000000001,271.0,14271.63858220211,0.5355000000000001,95747.17743589739,20,state_3,store_type_1,locality_1,0.03618402445860625,0.015543146623683056,-0.02574226965119564,2305.1595,0.9555,5.4495000000000005,9.387,3041.0,14192.608205128203,0.3255,167564.20692307694,0.87,0.34,1
12,state_2,store_type_6,locality_1,0.04797837673334926,0.058302953452739725,0.020045560481529282,2508.7125,1.1130000000000002,5.5440000000000005,8.746500000000001,271.0,14271.63858220211,0.5355000000000001,95747.17743589739,78,state_3,store_type_1,locality_1,0.05240025243061819,0.019170201532887843,-0.028114625001991692,2545.83,0.4305,2.9610000000000003,8.9145,0.0,10557.141282051285,0.504,146427.3394871795,0.87,0.2,2
12,state_2,store_type_6,locality_1,0.04797837673334926,0.058302953452739725,0.020045560481529282,2508.7125,1.1130000000000002,5.5440000000000005,8.746500000000001,271.0,14271.63858220211,0.5355000000000001,95747.17743589739,66,state_3,store_type_6,locality_4,0.02237839033969924,0.02210493184514473,-0.019700821618275133,2781.405170984456,0.2944896373056995,5.0994093264248725,8.897906735751295,225.0,9324.126153846157,0.3691321243523316,119874.99820512824,0.87,-0.05,3
13,state_3,store_type_1,locality_1,0.02407624252153351,-0.00244891562016325,-0.0423625129928108,3138.429,0.14700000000000002,5.628000000000001,9.3975,7443.73,10974.81,0.2625,160058.59564102563,96,state_2,store_type_1,locality_1,0.01789273364238997,0.004666746440110003,-0.03769187339915925,3622.731,0.126,6.006,9.4815,3780.0,8498.384102564101,0.28350000000000003,179894.10897435894,0.92,0.79,1
13,state_3,store_type_1,locality_1,0.02407624252153351,-0.00244891562016325,-0.0423625129928108,3138.429,0.14700000000000002,5.628000000000001,9.3975,7443.73,10974.81,0.2625,160058.59564102563,77,state_1,store_type_1,locality_1,0.03606445502821965,0.02989289710662346,-0.02456891181671894,3364.2735,0.084,4.3260000000000005,9.576,5709.0,13226.852051282052,0.252,167313.40025641027,0.91,0.52,2
